B,PP_PILOT_AUDIO_EMG_BTN,Pilot emergency switch,Pilot side panel
B,PP_PILOT_AUDIO_FILTR_BTN,Pilot filter switch (pilot side),Pilot side panel
B,PP_PILOT_AUDIO_FILT_BTN,Pilot filter switch (pilot side),Pilot side panel
B,PP_PILOT_AUDIO_FM_BTN,Pilot FM switch,Pilot side panel
B,PP_PILOT_AUDIO_HF1_BTN,Pilot HF1 switch,Pilot side panel
B,PP_PILOT_AUDIO_HF2_BTN,Pilot HF2 switch,Pilot side panel
B,PP_PILOT_AUDIO_MASK_BTN,Pilot mask switch,Pilot side panel
B,PP_PILOT_AUDIO_MIC_CABIN_BTN,Pilot mic cabin switch,Pilot side panel
B,PP_PILOT_AUDIO_MIC_FM_BTN,Pilot mic FM switch,Pilot side panel
B,PP_PILOT_AUDIO_MIC_HF1_BTN,Pilot mic HF1 switch,Pilot side panel
B,PP_PILOT_AUDIO_MIC_HF2_BTN,Pilot mic HF2 switch,Pilot side panel
B,PP_PILOT_AUDIO_MIC_PAGE_BTN,Pilot mic page switch,Pilot side panel
B,PP_PILOT_AUDIO_MKR2_BTN,Pilot marker 2 switch,Pilot side panel
B,PP_PILOT_AUDIO_SKP_BTN,Pilot skip switch,Pilot side panel
B,PP_PILOT_AUDIO_ST_BTN,Pilot ST switch,Pilot side panel
B,PP_PILOT_BELOW_GS_BTN,Pilot below glideslope button,Pilot side panel
B,PP_PILOT_CVR_TEST_BTN,Pilot CVR test button,Pilot side panel
B,PP_PILOT_DAVTRON_DIM_SW,Pilot bright-dim knob,Pilot side panel
B,PP_PILOT_DAVTRON_SET_SW,Pilot min-sec set knob,Pilot side panel
B,PP_PILOT_DAVTRON_TIME_SW,Pilot time set knob,Pilot side panel
B,PP_PILOT_DAVTRON_ZERO_SW,Pilot zero set knob,Pilot side panel
B,PP_PILOT_EFIS_TEST_BTN,Pilot EFIS test button,Pilot side panel
B,PP_PILOT_FAKE_DECALS,Pilot fake decals switch,Pilot side panel
B,PP_PILOT_FAKE_KNOBS,Pilot yaw damper master switch,Pilot side panel
B,PP_PILOT_FLOOR_SW,Pilot floor switch,Pilot side panel
B,PP_PILOT_HDG_DECAL,Pilot heading decal switch,Pilot side panel
B,PP_PILOT_OXY_MASK_TEST,Pilot oxygen mask test button,Pilot side panel
B,PP_PILOT_PFD_SCREW_2,Pilot autopilot master switch,Pilot side panel
B,PP_PILOT_PITOT_KNOB,Pilot static source switch,Pilot side panel
B,PP_PILOT_PULL_UP_BTN,Pilot pull up button,Pilot side panel
B,PP_PILOT_SIDE_IRS_TEST_BTN,Pilot IRS test button,Pilot side panel
B,PP_PILOT_VSI_AB_BTN,Pilot above/below button,Pilot side panel
B,PP_PILOT_VSI_R_BTN,Pilot range button,Pilot side panel
B,PP_PILOT_VS_IAS_DECAL,Pilot VS IAS decal switch,Pilot side panel
H,CTL_GNSXLS_1_BUTTON_ON,Number,GNS pilot — power on,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_BUTTON_OFF,Number,GNS pilot — power off (long press),CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_BUTTON_BRT_PUSHED,Number,GNS pilot — brightness hold,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_BUTTON_BRT_RELEASED,Number,GNS pilot — brightness release,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_FPL,Number,GNS pilot — FPL button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_NAV,Number,GNS pilot — NAV button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_DIRECTTO,Number,GNS pilot — Direct-to button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_PLAN,Number,GNS pilot — Plan button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_HOLD,Number,GNS pilot — Hold / POS fix button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_AFIS,Number,GNS pilot — AFIS button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_VNAV,Number,GNS pilot — VNAV button,CTL Falcon 50 GNS — GNS pilot
H,CTL_GNSXLS_1_KEY_MSG,Number,GNS pilot — MSG button,CTL Falcon 50 GNS — GNS pilot
