Pressure Altitude: 0ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
Pressure Altitude: 31000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.696,.677,.660,.644,.626,.607,.592,.575,.554,.535
NM/lb,.1880,.1939,.1999,.2061,.2126,.2194,.2261,.2331,.2408,.2491
TAT (°C),-13,-15,-16,-17,-18,-19,-20,-21,-22,-23
TAS (kt),417,406,396,387,377,365,356,347,334,323
RPM (%),94.9,93.8,92.7,91.7,90.6,89.4,88.4,87.2,85.9,84.6
F/F (lb/hr),740,698,661,626,590,555,525,495,462,432
,,,,,,,,,,
Pressure Altitude: 31000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.696,.677,.660,.644,.626,.607,.592,.575,.554,.535
NM/lb,.1868,.1927,.1987,.2049,.2114,.2182,.2250,.2320,.2398,.2481
TAT (°C),-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
TAS (kt),426,415,405,395,384,373,364,354,341,330
RPM (%),96.9,95.7,94.6,93.6,92.4,91.3,90.2,89,87.7,86.3
F/F (lb/hr),760,717,679,643,606,569,539,508,474,443
,,,,,,,,,,
Pressure Altitude: 33000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.712,.700,.688,.674,.654,.636,.618,.604,.585,.557
NM/lb,.1967,.2037,.2101,.2164,.2235,.2307,.2381,.2454,.2534,.2628
TAT (°C),-39,-39,-40,-41,-42,-43,-44,-45,-46,-47
TAS (kt),405,398,391,383,372,363,352,344,334,318
RPM (%),91.7,90.6,89.7,88.7,87.5,86.4,85.3,84.4,83.2,81.6
F/F (lb/hr),686,652,621,590,555,524,493,468,440,404
,,,,,,,,,,
Pressure Altitude: 33000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.712,.700,.688,.674,.654,.636,.618,.604,.585,.557
NM/lb,.1952,.2023,.2087,.2150,.2222,.2294,.2368,.2441,.2521,.2616
TAT (°C),-28,-29,-29,-30,-31,-32,-33,-34,-35,-36
TAS (kt),414,408,401,392,381,371,361,352,342,326
RPM (%),93.8,92.7,91.7,90.7,89.5,88.4,87.3,86.3,85.1,83.4
F/F (lb/hr),707,671,640,608,571,539,507,481,452,415
,,,,,,,,,,
Pressure Altitude: 33000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.712,.700,.688,.674,.654,.636,.618,.604,.585,.557
NM/lb,.1938,.2008,.2073,.2136,.2208,.2281,.2355,.2429,.2509,.2605
TAT (°C),-17,-18,-18,-19,-20,-21,-22,-23,-24,-26
TAS (kt),423,417,409,401,389,379,369,360,350,333
RPM (%),95.9,94.8,93.8,92.7,91.5,90.4,89.3,88.3,87,85.3
F/F (lb/hr),728,691,658,626,588,554,522,494,464,426
,,,,,,,,,,
Pressure Altitude: 33000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.712,.700,.688,.674,.654,.636,.618,.604,.585,.557
NM/lb,.1924,.1995,.2059,.2123,.2195,.2268,.2342,.2416,.2497,.2594
TAT (°C),-6,-7,-7,-8,-10,-11,-12,-13,-14,-15
TAS (kt),432,425,418,410,398,387,376,368,357,340
RPM (%),98,96.8,95.8,94.7,93.5,92.3,91.1,90.1,88.9,87.1
F/F (lb/hr),749,711,677,643,604,569,536,507,476,437
,,,,,,,,,,
Pressure Altitude: 35000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.721,.719,.710,.700,.686,.667,.649,.629,.607,.588
NM/lb,.2014,.2087,.2168,.2245,.2321,.2401,.2483,.2568,.2657,.2750
TAT (°C),-43,-43,-43,-44,-45,-46,-47,-48,-49,-50
TAS (kt),405,405,400,394,387,376,366,355,343,333
RPM (%),92.6,91.8,90.7,89.7,88.6,87.4,86.2,85,83.8,82.6
F/F (lb/hr),671,646,615,585,555,522,491,461,430,403
,,,,,,,,,,
Pressure Altitude: 35000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.721,.719,.710,.700,.686,.667,.649,.629,.607,.588
NM/lb,.1998,.2071,.2152,.2230,.2306,.2386,.2468,.2553,.2643,.2736
TAT (°C),-32,-32,-32,-33,-34,-35,-36,-37,-38,-39
TAS (kt),415,414,409,404,396,385,375,363,351,341
RPM (%),94.7,93.9,92.8,91.8,90.7,89.5,88.3,87.1,85.8,84.6
F/F (lb/hr),692,666,634,603,572,538,506,474,443,415
,,,,,,,,,,
Pressure Altitude: 35000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.721,.719,.710,.700,.686,.667,.649,.629,.607,.588
NM/lb,.1982,.2056,.2136,.2214,.2291,.2371,.2453,.2539,.2630,.2723
TAT (°C),-21,-21,-21,-22,-23,-24,-25,-26,-27,-28
TAS (kt),424,423,418,413,405,394,383,372,359,348
RPM (%),96.9,96.1,94.9,93.9,92.7,91.5,90.3,89,87.7,86.5
F/F (lb/hr),713,686,653,621,589,553,520,488,455,426
,,,,,,,,,,
Pressure Altitude: 35000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.721,.719,.710,.700,.686,.667,.649,.629,.607,.588
NM/lb,.1967,.2040,.2121,.2199,.2275,.2356,.2439,.2525,.2616,.2710
TAT (°C),-10,-10,-10,-11,-12,-13,-14,-15,-17,-18
TAS (kt),434,433,428,422,414,402,391,380,367,356
RPM (%),99,98.1,97,95.9,94.8,93.5,92.2,91,89.6,88.3
F/F (lb/hr),735,707,672,639,606,569,535,501,467,438
,,,,,,,,,,
Pressure Altitude: 37000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.713,.713,.713,.712,.707,.696,.678,.655,.632,.610
NM/lb,.2048,.2129,.2214,.2298,.2382,.2469,.2558,.2654,.2753,.2857
TAT (°C),-45,-45,-46,-46,-46,-46,-47,-49,-50,-51
TAS (kt),399,399,399,399,396,390,380,368,355,343
RPM (%),93.5,92.6,91.8,90.9,89.9,88.8,87.6,86.3,84.9,83.6
F/F (lb/hr),650,625,601,578,554,527,496,462,430,400
,,,,,,,,,,
Pressure Altitude: 37000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
